dataset,trait_slug,best_baseline_name,best_baseline,no_prior_tabicl,BayesB,GBLUP,RKHS,single_bayesb_two_step_ls,single_gblup_two_step_ls,single_rkhs_two_step_ls,triple_two_step_ls,only_triple,triple_vs_BayesB_pct,triple_vs_GBLUP_pct,triple_vs_RKHS_pct,triple_vs_best_baseline_pct,triple_vs_no_prior_tabicl_pct,triple_vs_single_bayesb_two_step_ls_pct,triple_vs_single_gblup_two_step_ls_pct,triple_vs_single_rkhs_two_step_ls_pct,triple_vs_only_triple_pct
soybean951,lw_beijing_2013_lw_beijing_2013,BayesB,0.5470655817574893,0.5017393084607698,0.5470655817574893,0.5259177969093123,0.5318117511192463,0.5561485812076794,0.5399268860500864,0.5401224344143445,0.5561485812076794,0.5470655817574893,1.6603127217417462,5.748195721085291,4.576211420152723,1.6603127217417462,10.844131968417187,0.0,3.004424409435348,2.9671322226620878,1.6603127217417462
soybean951,md_beijing_2013_md_beijing_2013,RKHS,0.6729233112263855,0.6152061500093498,0.668269458134134,0.6597992370888317,0.6729233112263855,0.6713355455414851,0.6638589656374012,0.6693350662896217,0.6719087934082759,0.6695743760726144,0.5445909924274096,1.835339545537221,-0.15076276912753103,-0.15076276912753103,9.21685249701493,0.08538917246344152,1.2125810130688979,0.3845199883103943,0.3486419760197585
soybean951,plh_beijing_2013_plh_beijing_2013,BayesB,0.7616884118454353,0.7032892022494912,0.7616884118454353,0.7424525521258256,0.743359546978439,0.7637000875950755,0.7437787917562455,0.7423699135728324,0.7637812975526741,0.762206820824406,0.27476927240734395,2.872741883071046,2.7472238242239793,0.27476927240734395,8.60131153865254,0.01063374993898085,2.689308436611608,2.884193390434462,0.20656817615002285
soybean951,prt_beijing_2013_prt_beijing_2013,RKHS,0.302407996825868,0.2025014763817338,0.2857182011948287,0.2816869377995264,0.302407996825868,0.2900999610904392,0.2882538564192083,0.3030063437697676,0.300137747842423,0.2987037237411177,5.046772164774235,6.550112045318837,-0.7507238589170884,-0.7507238589170884,48.2150911713038,3.46011309834492,4.12271723641119,-0.9467115082990658,0.4800824319646326
soybean951,sl_beijing_2013_sl_beijing_2013,RKHS,0.5554622127077014,0.5047546495643478,0.5435888944954006,0.5404541281904967,0.5554622127077014,0.5546874517273773,0.5521150669928786,0.5566049693457052,0.5578232908069687,0.5559368804390707,2.618595864579152,3.2138088526820976,0.42506547614784257,0.42506547614784257,10.513749856177506,0.5653344184776317,1.0338829992777054,0.2188844024687001,0.33932096147463364
soybean951,st_beijing_2013_st_beijing_2013,GBLUP,0.7322396944452573,0.6844935257463683,0.7320967785472245,0.7322396944452573,0.7274483701475686,0.7364736355992542,0.7367277884844305,0.7305719771502135,0.7364077663065381,0.7334327548064353,0.5888549008326932,0.5692223315534123,1.2316195247165218,0.5692223315534123,7.584328939205491,-0.008943876539778335,-0.04343832048886555,0.798797290184695,0.40562839341528634
soybean951,vbn_beijing_2013_vbn_beijing_2013,RKHS,0.7713125691711441,0.751709727042776,0.7650799067546393,0.7662838423026682,0.7713125691711441,0.7675915159390462,0.7681677212563,0.7700762730072108,0.7700892056877212,0.7712432709203074,0.6547419281118781,0.4965997160553394,-0.15860800566721245,-0.15860800566721245,2.4450233891810838,0.3253930895288029,0.25013865829701476,0.0016794025428011356,-0.1496369921268927
wheat406,ph_e1,BayesB,0.8135824369230313,0.8035032262949047,0.8135824369230313,0.8063482624647111,0.8135012520875049,0.8236600927392965,0.821145449809754,0.8195693815638444,0.8224771687802332,0.8104457311546035,1.0932797284614186,2.000240723062012,1.1033685159912754,1.0932797284614186,2.3614021530219333,-0.14361797657686115,0.1621782073794322,0.3547945154857313,1.4845457460167175
wheat406,ph_e2,BayesB,0.7801366585180576,0.7659802533795514,0.7801366585180576,0.7763961168498922,0.778819028416873,0.7888158232594249,0.7847308066684393,0.7835003153674142,0.7888466137759421,0.7810871158215479,1.1164653221693122,1.603626893004812,1.28753728314169,1.1164653221693122,2.9852414987857583,0.003903384745756335,0.524486495563542,0.6823607219635733,0.9934228586311772
wheat406,ph_e3,BayesB,0.8484937473839054,0.8328648432455864,0.8484937473839054,0.8447012058692742,0.8390647390050802,0.8555697001554938,0.8537061380910373,0.8486141518196394,0.8541493338664935,0.8471011056842386,0.6665442733108589,1.1185171669663119,1.7977867690280818,0.6665442733108589,2.555575588707008,-0.16601409432126785,0.05191432457627354,0.6522613410329418,0.832040961221716
wheat406,pl_e1,BayesB,0.8433099151777892,0.8581483463716699,0.8433099151777892,0.8292633469204951,0.842948118485508,0.8646268456438577,0.8596903440929413,0.8633264390493436,0.8632838351112213,0.8403374934010357,2.368514774218106,4.10249510207617,2.4124517487801866,2.368514774218106,0.5984383424223451,-0.15532834070590523,0.4179982993843537,-0.0049348584956103074,2.7306102477132828
wheat406,pl_e2,RKHS,0.7239989328303194,0.7185089865880742,0.7213785182898848,0.7186337585627103,0.7239989328303194,0.7372674143555863,0.7377845799686021,0.7354963174386052,0.7379921540938941,0.7249066806663407,2.303039996726539,2.6937776441091748,1.9327682167805422,1.9327682167805422,2.7116108315273912,0.09830079618278557,0.0281347877046665,0.3393404693011518,1.8051252356406915
wheat406,pl_e3,BayesB,0.8121783474113368,0.7992423215328194,0.8121783474113368,0.8052386558427378,0.8082385423318982,0.8203163981766313,0.8173847612321353,0.8160943801942601,0.8202889853833224,0.8132408512464316,0.9986277026267375,1.8690520420723464,1.4909512996814966,0.9986277026267375,2.6333270002693148,-0.0033417341613308734,0.35530686268351913,0.5139853049917917,0.8666724164296815
wheat406,sl_e1,RKHS,0.4596038136626806,0.4509765888184286,0.4539404593060275,0.4487348730308792,0.4596038136626806,0.4765675959949215,0.4742850660528733,0.4766347086230006,0.477206446803793,0.4590473143743621,5.125339022067768,6.344854274553901,3.829958024245545,3.829958024245545,5.816234952259348,0.13405250676722505,0.6159546146439309,0.11995311513173748,3.9558302294350804
wheat406,sl_e2,RKHS,0.4367164719870486,0.3700577667693672,0.4158682835930846,0.4100684976960874,0.4367164719870486,0.424051779462497,0.4191283019904896,0.4381478551549217,0.4381478551549217,0.4367164719870486,5.357362520974806,6.847479778767275,0.32776028835375876,0.32776028835375876,18.399853887674414,3.3241402053051323,4.537883286360287,0.0,0.32776028835375876
wheat406,sl_e3,BayesB,0.6506261195035332,0.6171362358585945,0.6506261195035332,0.6343767891391229,0.6431907613237863,0.6604791504324482,0.6512801011682542,0.6510078322297088,0.6580563200589686,0.6511425710094414,1.14200772651198,3.7327234106373783,2.3112208117832314,1.14200772651198,6.630640338829541,-0.3668291984528537,1.0404461733990324,1.08270399837106,1.0617872885824557
